building_id,address,normalized_address,street_number,street_name,city,state,zip_code,lat,lng,building_type,building_area_sqft,num_stories,estimated_roof_area,solar_capacity_kw,score,score_breakdown,geocoded,data_quality,sources,business_name,business_types,business_rating,business_reviews_count,business_status,business_website,business_phone,solar_max_panels,solar_max_area_m2,solar_sunshine_hours_year,solar_carbon_offset_kg_mwh,solar_optimal_panels,solar_optimal_energy_kwh_year,solar_monthly_savings,solar_payback_years,solar_financially_viable,solar_panel_capacity_watts,solar_roof_area_m2,solar_roof_segment_count,solar_min_panels,solar_min_energy_kwh,solar_percentage,icp_bucket,ineligible,enriched_score,enriched_score_breakdown,solar_proxy
UNY_001,"100 State Street, Rochester, NY 14614","100 STATE ST, ROCHESTER, NY 14614",100,State Street,Rochester,NY,14614,43.1577838,-77.6137595,office,45000.0,8.0,3937.4999999999995,39.37499999999999,65.0,"{'building_type': 20, 'roof_area': 5, 'geocoding': 20, 'data_quality': 15, 'building_size': 5}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_002,"1 Bausch & Lomb Place, Rochester, NY 14604","1 BAUSCH & LOMB PL, ROCHESTER, NY 14604",1,Bausch,Rochester,NY,14604,43.1546058,-77.6059888,office,120000.0,12.0,7000.0,70.0,75.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_003,"260 East Avenue, Rochester, NY 14604","260 E AVE, ROCHESTER, NY 14604",260,East Avenue,Rochester,NY,14604,,,office,85000.0,10.0,5950.0,59.5,52.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 0, 'data_quality': 15, 'building_size': 7}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_004,"400 Andrews Street, Rochester, NY 14604","400 ANDREWS ST, ROCHESTER, NY 14604",400,Andrews Street,Rochester,NY,14604,43.1605783,-77.604391,industrial,200000.0,3.0,46666.666666666664,466.66666666666663,95.0,"{'building_type': 30, 'roof_area': 20, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_005,"1200 Scottsville Road, Rochester, NY 14624","1200 SCOTTSVILLE RD, ROCHESTER, NY 14624",1200,Scottsville Road,Rochester,NY,14624,43.1169041,-77.6559526,warehouse,150000.0,1.0,105000.0,1050.0,98.0,"{'building_type': 28, 'roof_area': 25, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_006,"100 Midtown Plaza, Rochester, NY 14604","100 MIDTOWN PLAZA, ROCHESTER, NY 14604",100,Midtown Plaza,Rochester,NY,14604,,,retail,250000.0,4.0,43750.0,437.5,67.0,"{'building_type': 22, 'roof_area': 20, 'geocoding': 0, 'data_quality': 15, 'building_size': 10}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_007,"1 Xerox Square, Rochester, NY 14604","1 XEROX SQUARE, ROCHESTER, NY 14604",1,Xerox Square,Rochester,NY,14604,43.1545914,-77.6042427,office,180000.0,15.0,8400.0,84.0,75.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_008,"3450 Winton Place, Rochester, NY 14623","3450 WINTON PL, ROCHESTER, NY 14623",3450,Winton Place,Rochester,NY,14623,,,commercial,75000.0,2.0,26250.0,262.5,67.0,"{'building_type': 25, 'roof_area': 20, 'geocoding': 0, 'data_quality': 15, 'building_size': 7}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_009,"75 College Avenue, Rochester, NY 14607","75 COLLEGE AVE, ROCHESTER, NY 14607",75,College Avenue,Rochester,NY,14607,43.1589491,-77.5874175,mixed_use,35000.0,3.0,8166.666666666666,81.66666666666666,65.0,"{'building_type': 15, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 5}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_010,"2000 Winton Road South, Rochester, NY 14618","2000 WINTON RD S, ROCHESTER, NY 14618",2000,Winton Road South,Rochester,NY,14618,,,retail,95000.0,2.0,33250.0,332.5,64.0,"{'building_type': 22, 'roof_area': 20, 'geocoding': 0, 'data_quality': 15, 'building_size': 7}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
